date;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];hourIndex;weekDayIndex
2022-03-24 19:00:00 +0000;39;23;34.0;1;0;19;5
2022-03-25 08:00:00 +0000;4;2;2.3;0;0;8;6
2022-03-25 15:00:00 +0000;2574;1503;1510.3;63;1;15;6
2022-03-25 16:00:00 +0000;78;46;58.0;2;1;16;6
2022-03-25 18:00:00 +0000;8;5;3.4;0;0;18;6
2022-03-25 19:00:00 +0000;76;44;52.2;2;1;19;6
2022-03-26 08:00:00 +0000;79;46;57.2;2;1;8;7
2022-03-26 12:00:00 +0000;12;7;7.1;0;0;12;7
2022-03-26 14:00:00 +0000;1066;623;615.0;26;1;14;7
2022-03-26 15:00:00 +0000;1743;1018;1062.9;44;1;15;7
2022-03-26 16:00:00 +0000;31;18;22.1;1;0;16;7
2022-03-26 17:00:00 +0000;34;20;25.0;1;0;17;7
2022-03-26 23:00:00 +0000;8;5;4.4;0;0;23;7
2022-03-27 09:00:00 +0000;453;265;217.3;9;0;9;1
2022-03-27 10:00:00 +0000;1166;681;709.7;30;1;10;1
2022-03-27 11:00:00 +0000;14;8;12.8;1;0;11;1
2022-03-27 12:00:00 +0000;16;9;6.9;0;0;12;1
2022-03-27 15:00:00 +0000;37;22;15.7;1;0;15;1
2022-03-27 16:00:00 +0000;21;12;11.0;0;0;16;1
2022-03-27 18:00:00 +0000;98;57;72.4;3;1;18;1
2022-03-28 12:00:00 +0000;25;15;15.6;1;0;12;2
2022-03-28 13:00:00 +0000;113;66;63.3;3;1;13;2
2022-03-28 14:00:00 +0000;4619;2698;2628.7;110;2;14;2
2022-03-28 15:00:00 +0000;37;22;27.0;1;1;15;2
2022-03-28 21:00:00 +0000;16;9;8.6;0;0;21;2
2022-03-29 12:00:00 +0000;23;13;18.6;1;0;12;3
2022-03-29 13:00:00 +0000;36;21;24.4;1;1;13;3
2022-03-29 14:00:00 +0000;6;4;3.9;0;0;14;3
2022-03-29 17:00:00 +0000;32;19;24.0;1;0;17;3
2022-03-29 18:00:00 +0000;6;4;3.6;0;0;18;3
2022-03-29 19:00:00 +0000;94;55;75.1;3;2;19;3
2022-03-29 22:00:00 +0000;18;11;12.6;1;0;22;3
2022-03-30 01:00:00 +0000;18;11;20.2;1;0;1;4
2022-03-30 02:00:00 +0000;10;6;6.8;0;0;2;4
2022-03-30 13:00:00 +0000;116;68;78.0;3;0;13;4
2022-03-30 14:00:00 +0000;4328;2528;2601.4;109;2;14;4
2022-03-30 15:00:00 +0000;1176;687;728.2;30;1;15;4
2022-03-30 16:00:00 +0000;78;46;55.2;2;1;16;4
2022-03-30 18:00:00 +0000;219;128;143.9;6;1;18;4
2022-03-30 19:00:00 +0000;36;21;23.3;1;0;19;4
2022-03-30 22:00:00 +0000;5;3;3.2;0;0;22;4
2022-03-31 13:00:00 +0000;90;53;59.3;2;1;13;5
2022-03-31 15:00:00 +0000;48;28;26.7;1;0;15;5
2022-03-31 16:00:00 +0000;16;9;11.4;0;0;16;5
2022-03-31 17:00:00 +0000;112;65;76.1;3;1;17;5
2022-03-31 19:00:00 +0000;18;11;11.7;0;0;19;5
2022-04-01 02:00:00 +0000;72;42;45.1;2;0;2;6
2022-04-01 13:00:00 +0000;103;60;62.6;3;0;13;6
2022-04-01 14:00:00 +0000;36;21;22.0;1;1;14;6
2022-04-02 00:00:00 +0000;8;5;5.3;0;0;0;7
2022-04-02 01:00:00 +0000;42;25;27.6;1;0;1;7
2022-04-02 02:00:00 +0000;25;15;15.1;1;0;2;7
2022-04-03 06:00:00 +0000;8;5;6.2;0;0;6;1
2022-04-03 10:00:00 +0000;75;44;50.5;2;1;10;1
2022-04-03 18:00:00 +0000;136;79;81.6;3;1;18;1
2022-04-03 20:00:00 +0000;19;11;8.2;0;0;20;1
2022-04-03 22:00:00 +0000;16;9;9.8;0;0;22;1
2022-04-04 18:00:00 +0000;55;32;36.0;2;1;18;2
2022-04-05 00:00:00 +0000;954;557;776.9;33;0;0;3
2022-04-05 01:00:00 +0000;78;46;58.4;2;1;1;3
