date;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];monthIndex
2022-03-01 00:00:00 +0000;33381;19498;20631.3;855;46;3
2022-04-01 00:00:00 +0000;111202;68396;77187.6;3225;90;4
