sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 13:58:54 +0000,2022-03-09 13:58:57 +0000,km,0.005059999999999946
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 17:29:30 +0000,2022-03-09 17:29:33 +0000,km,0.01034999999999991
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-10 09:56:12 +0000,2022-03-10 10:02:41 +0000,km,0.03702000000000089
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-10 13:39:40 +0000,2022-03-10 13:47:30 +0000,km,0.01820000000000027
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-10 14:08:01 +0000,2022-03-10 14:12:55 +0000,km,0.01947000000000071
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-10 14:21:10 +0000,2022-03-10 14:21:47 +0000,km,0.02092000000000053
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-10 19:42:53 +0000,2022-03-10 19:42:55 +0000,km,0.015840000000000146
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 01:37:43 +0000,2022-03-11 01:37:46 +0000,km,0.006559999999999945
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 06:07:43 +0000,2022-03-11 06:08:11 +0000,km,0.03825000000000091
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 06:37:19 +0000,2022-03-11 06:37:21 +0000,km,0.005920000000000073
