date;steps;duration [s];distance [m];calories [kcal]
hourly-activity-data;v1;;;
2022-04-22 14:00:00 +0000;30;0;20.443499;0.85556036;
2022-04-22 15:00:00 +0000;2381;1380;1622.5323;67.90298;
2022-04-22 16:00:00 +0000;4377;2580;2982.7065;124.82627;
2022-04-22 17:00:00 +0000;112;60;76.322395;3.194092;
2022-04-22 18:00:00 +0000;3685;2160;2511.143;105.09133;
2022-04-22 19:00:00 +0000;17;0;11.584649;0.48481753;
2022-04-22 20:00:00 +0000;9;0;6.1330495;0.25666812;
2022-04-23 12:00:00 +0000;9;0;6.1330495;0.25666812;
2022-04-23 13:00:00 +0000;20;0;13.628999;0.5703736;
2022-04-23 14:00:00 +0000;1433;840;976.51776;40.867264;
2022-04-23 15:00:00 +0000;2747;1620;1871.943;78.34081;
2022-04-23 16:00:00 +0000;3203;1860;2182.684;91.34533;
2022-04-23 17:00:00 +0000;24;0;16.3548;0.6844483;
2022-04-23 19:00:00 +0000;3375;1980;2299.8936;96.25054;
2022-04-23 20:00:00 +0000;72;60;49.064396;2.053345;
2022-04-23 21:00:00 +0000;4;0;2.7257998;0.11407472;
2022-04-23 22:00:00 +0000;8;0;5.4515996;0.22814944;
2022-04-24 13:00:00 +0000;303;180;206.47934;8.641161;
2022-04-24 14:00:00 +0000;93;60;63.374844;2.6522374;
2022-04-24 16:00:00 +0000;16;0;10.903199;0.4562989;
2022-04-24 20:00:00 +0000;1849;1080;1260.001;52.731037;
2022-04-24 21:00:00 +0000;3259;1920;2220.8455;92.94238;
2022-04-24 22:00:00 +0000;4898;2880;3337.742;139.6845;
2022-04-24 23:00:00 +0000;19;0;12.947549;0.5418549;
2022-04-25 00:00:00 +0000;1;0;0.68144995;0.02851868;
2022-04-25 01:00:00 +0000;2;0;1.3628999;0.05703736;
