日付,通常の運動（分）のカウント,カロリー（kcal）,距離（m）,ハートポイント（強めの運動）,強めの運動（分）,最低緯度（度）,最低経度（度）,最高緯度（度）,最高経度（度）,平均速度（m/s）,最高速度（m/s）,最低速度（m/s）,歩数,平均体重（kg）,最高体重（kg）,最低体重（kg）,「ウォーキング」の時間（ミリ秒）,「ランニング」の時間（ミリ秒）
2022-04-12,,638.618077663927,52.029998779296875,,,,,,,0.09610181674361229,0.12649929523468018,0.0657043382525444,81,,,,,
2022-04-13,117,1496.6596922098374,8079.277498245239,77.0,77,,,,,0.5492178779191129,1.4698913097381592,0.07144816219806671,11405,,,,3457495,103204
2022-04-14,155,1507.9121018785906,10927.261281877756,55.0,55,,,,,1.0441872835912074,1.5607863664627075,0.012228170409798622,14659,,,,3865143,
2022-04-15,112,1490.5028926811863,8908.982528686523,76.0,76,,,,,0.6374308551246333,1.488517165184021,0.05386869236826897,11414,,,,3586124,
2022-04-16,102,1392.6329697359847,7881.740069627762,82.0,82,,,,,0.7566857466907743,1.4494948387145996,0.13130901753902435,10616,46.42499923706055,46.5,46.349998474121094,3230074,
2022-04-17,128,1331.9818258043713,8079.664653778076,14.0,14,,,,,0.9961904671193798,1.455963373184204,0.5464795827865601,11179,,,,1852429,
2022-04-18,101,1386.2640785071355,6247.900008678436,85.0,83,,,,,0.331372311070719,4.176405429840088,0.08166000992059708,10376,,,,3183794,69658
2022-04-19,96,1464.4505028528379,7580.02313542366,93.0,93,34.31346893310547,134.0551300048828,34.318477630615234,134.06048583984375,1.1658881839775437,3.6289687156677246,0.02540738321840763,10629,46.5,46.5,46.5,5702757,
2022-04-20,101,1478.1617798542552,7109.400396347046,92.0,92,34.25600051879883,133.7872772216797,34.32114791870117,134.05728149414062,0.7158997882230906,1.5364476442337036,0.30141347646713257,10768,,,,6101289,
2022-04-21,120,1512.642439722837,6267.609347581863,4.0,4,,,,,0.5439097051328866,1.1023848056793213,0.2511778771877289,10504,,,,7103502,
2022-04-22,110,1392.2384157122824,7628.351107478142,41.0,39,,,,,1.2040447455236671,3.7451841831207275,0.020702766254544258,10860,,,,3584064,
2022-04-23,104,1393.3128867208138,7173.82817697525,66.0,60,,,,,1.3775261337953806,4.876884937286377,0.029376326128840446,10895,,,,2783979,319931
2022-04-24,101,1493.2776257125513,5971.038611650467,52.0,48,34.31368637084961,134.05406188964844,34.32114791870117,134.06045532226562,1.1065509945379919,4.216620922088623,0.07785625010728836,10568,,,,5890097,208721
2022-04-25,,89.90615486084272,,,,,,,,,,,3,,,,,
